No,日本語名,英語名
510,破産更生債権等,
511,発生主義,
512,引渡基準,
513,船積基準,
514,法定繰入率,
515,法律上の貸倒れ,
516,与信管理,
517,与信限度額,
518,予約販売,
519,FOB,
520,買掛金,
521,期日別債務残高管理,
522,決済,
523,検収,
524,検収基準,
525,購入業務／購買業務,
526,下請代金支払遅延等防止法,
527,仕入の計上基準,
528,仕入,
529,仕入値引,
530,仕入割戻し,
531,仕入割引,
532,使用基準,
533,仕入先別債務残高管理,
534,仕入先別元帳,
535,CIF,
536,滞留買掛金,
537,入荷基準,
538,発送基準,
539,輸入取引の仕入計上基準,
540,後入先出法,
541,移動平均法,
542,継続記録法,
543,原価法,
544,原材料,
545,個別法,
546,在庫（棚卸資産）回転率,
547,最終仕入原価法,
548,先入先出法,
549,仕掛品,
550,仕損品,
551,商品,
552,実地棚卸,
553,正味売却価額,
554,製品,
555,総平均法,
556,滞留在庫,
557,棚卸計算法,
558,棚卸原票,
559,棚卸減耗損,
560,棚卸資産,
561,棚卸資産の評価基準,
562,棚卸資産の評価方法,
563,棚卸資産評価損,
564,たな札,
565,貯蔵品,
566,低価法,
567,トレーディング目的で保有する棚卸資産,
568,売価還元法,
569,半製品,
570,圧縮記帳,
571,一括償却資産,
572,オペレーティング・リース取引,
573,回収可能価額,
574,機械装置,
575,機能的減価,
576,級数法,
577,旧定額法,
578,グルーピング,
579,減価償却累計額,
580,建設仮勘定,
581,減損,
582,減損処理,
583,減損損失,
584,減損損失の認識,
585,減損損失の測定,
586,減損の兆候,
587,工具・器具及び備品,
588,構築物,
589,固定資産,
590,固定資産除却損,
591,固定資産税,
592,固定資産台帳,
593,固定資産売却益／固定資産売却損,
594,残存価額,
595,資産除去債務,
596,資本的支出,
597,借地権,
598,車輌運搬具,
599,収益的支出,
600,修繕費,
601,取得原価,
602,少額減価償却資産,
603,使用価値,
604,償却限度額,
605,償却超過額,
606,償却不足額,
607,商標権,
608,正味売却価額,
609,所有権移転外ファイナンス・リース取引,
610,所有権移転ファイナンス・リース取引,
611,正規の減価償却,
612,生産高比例法,
613,ソフトウェア,
614,ソフトウェア仮勘定,
615,耐用年数,
616,建物,
617,建物附属設備,
618,定額法,
619,定率法,
620,電話加入権,
621,投資その他の資産,
622,特別償却,
623,土地,
624,特許権,
625,取替法,
626,のれん,
627,非減価償却資産,
628,ファイナンス・リース取引,
629,付随費用,
630,普通償却,
631,物質的減価,
632,法定償却方法,
633,法定耐用年数,
634,簿外資産,
635,無形固定資産,
636,有形固定資産,
637,有姿除却,
638,有税償却,
639,割増償却,
640,コンテンツ,
641,自社利用のソフトウェア,
642,市場販売目的のソフトウェア,
643,受注制作のソフトウェア,
644,将来の収益獲得又は費用削減が確実であること,
645,製品マスター,
646,ソフトウェア,
647,ソフトウェア仮勘定,
648,ソフトウェアの著しい改良,
649,移動平均法,
650,外注加工費,
651,間接経費,
652,間接材料費,
653,間接費,
654,間接労務費,
655,基準操業度,
656,継続記録法,
657,経費,
658,原価計算,
659,原価差異分析,
660,原価差額,
661,固定費,
662,個別原価計算,
663,個別法,
664,材料費,
665,材料費差異分析,
666,先入先出法,
667,仕掛品,
668,実際原価,
669,実際原価計算,
670,主要材料費,
671,消費数量,
672,消費単価,
673,製造原価,
674,製造原価明細書,
675,製造費用,
676,製造部門,
677,製品,
678,製品別原価計算,
679,総合原価計算,
680,総平均法,
681,他勘定振替高,
682,棚卸計算法,
683,棚卸減耗損,
684,直接経費,
685,直接原価計算,
686,直接材料費,
687,直接費,
688,直接賦課,
689,直接労務費,
690,直課,
691,配賦基準,
692,配賦計算,
693,半製品,
694,費目別原価計算,
695,標準原価,
696,標準原価計算,
697,部門共通費,
698,部門個別費,
699,部門別原価計算,
700,変動費,
701,補助材料費,
702,補助部門,
703,労務費,
704,労務費差異分析,
705,会議費,
706,会費,
707,貸倒損失,
708,貸倒引当金繰入額,
709,寄附金,
710,給料,
711,経済的利益,
712,減価償却費,
713,研究開発費,
714,現物給与,
715,広告宣伝費,
716,交際費,
717,５千円基準,
718,雑給,
719,事前確定届出給与,
720,使途秘匿金,
721,資本的支出,
722,収益的支出,
723,修繕費,
724,出向者の給与,
725,消耗品費,
726,賞与,
727,賞与引当金,
728,賞与引当金繰入額,
729,新聞図書費,
730,水道光熱費,
731,租税公課,
732,損金経理,
733,退職給付引当金,
734,退職給付費用,
735,退職金,
736,賃借料,
737,通信費,
738,手当,
739,定期同額給与,
740,同族会社,
741,福利厚生費,
742,法定福利費,
743,保険料,
744,役員給与,
745,役員賞与,
746,役員賞与引当金,
747,役員退職慰労引当金,
748,役員慰労退職引当金繰入額,
749,役員報酬,
750,利益連動給与,
751,旅費交通費,
752,月次業績報告,
753,月次決算,
754,月次決算整理,
755,月次棚卸,
756,月次損益計算書,
757,月次貸借対照表,
758,月次予算,
759,月次予算実績差異分析,
760,年度予算,
761,赤字決算,
762,一年基準,
763,押し込み販売,
764,会計監査人,
765,会計監査人設置会社,
766,外形標準課税,
767,架空売り上げ,
768,株主資本等変動計算書,
769,仮受金,
770,仮勘定,
771,仮決算,
772,仮払金,
773,監査役,
774,監査役会,
775,監査役設置会社,
776,間接費,
777,勘定科目内訳表,
778,貸倒引当金,
779,監査,
780,監査報告書,
781,確定申告書,
782,還付税額,
783,共通費の配賦基準,
784,黒字決算,
785,経過勘定,
786,計算書類,
787,計算書類の備置き,
788,決算,
789,決算公告,
790,決算書,
791,決算手続き,
792,決算取締役会,
793,決算の承認,
794,決算発表,
795,決算日,
796,決算報告,
797,決算方針,
798,月次決算,
799,検収基準,
800,工事完成基準,
801,工事進行基準,
802,後発事象,
803,個別注記表,
804,事業税,
805,事業報告,
806,資産の評価基準,
807,実地棚卸,
808,四半期決算,
809,資本割,
810,出荷基準,
811,証憑,
812,剰余金の処分,
813,剰余金の配当等,
814,賞与引当金,
815,申告期限,
816,正常営業循環基準,
817,損益計算書,
818,大会社,
819,貸借対照表,
820,退職給付引当金,
821,代表取締役,
822,タックス・クッション,
823,中間決算,
824,追徴税額,
825,取締役,
826,取締役会,
827,年度決算,
828,配当,
829,配当方針,
830,配当基準日,
831,引当金の計上基準,
832,引渡基準,
833,付加価値割,
834,附属明細書,
835,粉飾決算,
836,分配可能額,
837,法人税、住民税及び事業税,
838,法人税と税効果の計算,
839,補助簿,
840,本決算,
841,前受収益,
842,前払費用,
843,未収収益,
844,未払費用,
845,未払法人税等,
846,役員賞与,
847,役員賞与引当金,
848,IFRS,
849,営業活動によるキャッシュ・フロー,
850,影響力基準,
851,親会社,
852,会計処理の統一,
853,開始仕訳,
854,関係会社,
855,間接支配,
856,関連会社,
857,関連会社の範囲,
858,緊密な者,
859,決算日の統一,
860,現金同等物,
861,子会社,
862,国際財務報告基準,
863,在外子会社,
864,在外子会社の財務諸表の円換算,
865,債権・債務の消去,
866,財務活動によるキャッシュ・フロー,
867,支配力基準,
868,資本連結,
869,少数株主持分,
870,セグメント情報,
871,全面時価評価法,
872,直接支配,
873,同意している者,
874,投資活動によるキャッシュ・フロー,
875,投資と資本の消去,
876,取引高の消去,
877,内部取引消去,
878,のれん,
879,非支配株主持分,
880,非連結子会社,
881,負ののれん,
882,部分時価評価法,
883,包括利益,
884,マネジメント・アプローチ,
885,未実現利益消去,
886,みなし取得日等,
887,持分法,
888,連結会社,
889,連結キャッシュ・フロー計算書,
890,連結計算書類,
891,連結決算,
892,連結決算日,
893,連結子会社,
894,連結財務諸表,
895,連結精算表,
896,連結の範囲,
897,連結パッケージ,
898,連結法,
899,連結包括利益計算書,
900,連単倍率,
901,アニュアルレポート,
902,EDINET,
903,親会社等状況報告書,
904,会計監査人,
905,会計参与,
906,会社法監査,
907,会社法決算,
908,確認書,
909,株主総会参考書類,
910,計算書類,
911,決算公告,
912,決算短信,
913,公開会社,
914,公認会計士監査,
915,国際財務報告基準,
916,事業報告,
917,自己株式買付状況報告書,
918,四半期報告書,
919,招集通知,
920,上場会社,
921,ステークホルダー,
922,ディスクロージャー,
923,訂正報告書,
924,適時開示制度,
925,内部統制報告書,
926,半期報告書,
927,非公開会社,
928,附属明細書,
929,目論見書,
930,有価証券通知書,
931,有価証券届出書,
932,有価証券報告書,
933,有価証券報告書の記載内容の適正性に関する確認書,
934,臨時計算書類,
935,臨時報告書,
936,連結計算書類,
937,連結包括利益計算書,
938,連結配当規制会社,
939,アウトソーシング,
940,ROI,
941,ROE,
942,EVA,
943,ABC分析,
944,営業力分析,
945,外部環境分析,
946,技術力分析,
947,競合環境分析,
948,限界利益率,
949,事業環境分析,
950,市場環境分析,
951,SWOT分析,
952,生産力分析,
953,製品分析,
954,製品ライフサイクル,
955,ダイバーシティマネジメント,
956,中長期計画,
957,内部環境分析,
958,ＰＤＣＡサイクル,
959,５フォース分析,
960,ベンチマーキング,
961,マクロ環境分析,
962,マネジメント方針,
963,固定長期適合比率,
964,自己資本比率,
965,操業度,
966,年次予算,
967,部門別予算,
968,マネジメント方針,
969,予算,
970,予算管理,
971,予算と実績の差異分析,
972,予算の見直し,
973,流動比率,
974,ローリング・フォーキャスト,
975,一時差異,
976,永久差異,
977,益金,
978,回収可能性,
979,課税所得,
980,均等割,
981,繰延税金資産,
982,繰延税金資産・繰延税金負債の表示,
983,繰延税金負債,
984,将来加算一時差異,
985,将来減算一時差異,
986,スケジューリング,
987,スケジューリング不能な一時差異,
988,税金費用,
989,税効果会計,
990,税効果会計とB/S,
991,税効果会計とP/L,
992,税効果会計の注記,
993,損金,
994,タックスプランニング,
995,法人税等調整額,
996,法人税割,
997,法定実効税率,
998,見積実効税率,
999,未払事業所税,
1000,未払事業税,
1001,未払地方法人特別税,
1002,一括比例配分方式,
1003,売上げに係る対価の返還等に係る消費税額,
1004,役務の提供,
1005,外国貨物,
1006,貸倒れに係る消費税額,
1007,課税売上げ,
1008,課税売上高,
1009,課税売上割合,
1010,課税貨物,
1011,課税期間,
1012,課税区分,
1013,課税仕入れ,
1014,課税事業者,
1015,課税対象外取引,
1016,課税取引,
1017,課税標準,
1018,仮受消費税等,
1019,仮払消費税等,
1020,簡易課税方式,
1021,基準期間,
1022,原則課税方式,
1023,控除対象外消費税等,
1024,個別対応方式,
1025,仕入控除税額,
1026,仕入税額控除,
1027,資産の貸付け,
1028,資産の譲渡,
1029,資産の譲渡等,
1030,消費税,
1031,消費税の確定申告,
1032,消費税の還付申告,
1033,消費税の中間申告,
1034,税込経理方式,
1035,税抜経理方式,
1036,税抜経理方式と税込経理方式の違い,
1037,地方消費税,
1038,特定期間,
1039,納税義務の免除の特例,
1040,非課税取引,
1041,みなし仕入率,
1042,未払消費税等,
1043,免税事業者,
1044,免税取引,
1045,用途区分,
1046,95％ルール,
1047,青色申告,
1048,益金,
1049,外形標準課税,
1050,確定決算主義,
1051,期ズレ,
1052,均等割,
1053,源泉所得税,
1054,債務確定主義,
1055,事業税,
1056,市町村民税,
1057,資本割,
1058,社外流出,
1059,住民税,
1060,所得金額,
1061,所得割,
1062,申告調整,
1063,制限税率,
1064,損金,
1065,損金経理,
1066,タックス・クッション,
1067,地方法人税,
1068,地方法人特別税,
1069,中小法人等,
1070,超過税率,
1071,同族会社,
1072,道府県民税,
1073,標準税率,
1074,付加価値割,
1075,分割基準,
1076,分割法人,
1077,別表四,
1078,別表五（一）,
1079,法人税,
1080,法人税、住民税及び事業税,
1081,法人税等還付額,
1082,法人税等追徴額,
1083,法人税の確定申告,
1084,法人税の中間申告,
1085,法人税率,
1086,法人税割,
1087,未収還付法人税等,
1088,未払法人税等,
1089,利益積立金,
1090,利子割,
1091,留保,
1092,完全支配関係,
1093,グループ法人税制,
1094,個別帰属額の届出書,
1095,連結親法人,
1096,連結確定申告,
1097,連結欠損金額,
1098,連結子法人,
1099,連結事業年度,
1100,連結所得金額,
1101,連結所得に対する法人税率,
1102,連結中間申告,
1103,連結納税,
1104,連結法人税額,
1105,異議申立て,
1106,延滞金,
1107,延滞税,
1108,過少申告加算税,
1109,課税処分,
1110,過怠税,
1111,強制調査,
1112,決定,
1113,現況調査,
1114,更正,
1115,更正の請求,
1116,事前通知,
1117,実地調査,
1118,質問検査権,
1119,重加算税,
1120,修正申告,
1121,受忍義務,
1122,準備調査,
1123,申告是認,
1124,審査請求,
1125,税務調査,
1126,節税,
1127,是認通知,
1128,租税回避行為,
1129,滞納処分,
1130,脱税,
1131,調査課所管法人,
1132,同族会社の行為又は計算の否認,
1133,任意調査,
1134,反面調査,
1135,附帯税,
1136,附帯税の税額,
1137,不納付加算税,
1138,法人税、住民税及び事業税,
1139,法人税等還付額,
1140,法人税等追徴額,
1141,未払法人税等,
1142,未収還付法人税等,
1143,無申告加算税,
1144,利子税,
1145,インターネットバンキング,
1146,インプレストシステム,
1147,NCD,
1148,外貨預金,
1149,仮計上,
1150,銀行勘定調整表,
1151,銀行振込,
1152,金種表,
1153,現金,
1154,現金過不足,
1155,現金出納帳,
1156,小口現金,
1157,小口現金出納帳,
1158,先日付小切手,
1159,残高証明書,
1160,自己振出小切手,
1161,支払精査,
1162,支払伝票,
1163,譲渡性預金,
1164,CD,
1165,随時補給制度,
1166,出納,
1167,送金為替手形,
1168,送金小切手,
1169,通貨代用証券,
1170,通知預金,
1171,定額小為替証書,
1172,定額資金前渡制度,
1173,定期積金,
1174,定期預金,
1175,当座預金,
1176,入金伝票,
1177,納税準備預金,
1178,配当金領収書,
1179,ファームバンキング,
1180,普通預金,
1181,不渡り,
1182,ペイオフ,
1183,普通為替証書,
1184,預金,
1185,預金小切手,
1186,預金残高調整表,
1187,預金台帳,
1188,預金保険制度,
1189,受取手形,
1190,受取手形期日別管理台帳,
1191,受取手形台帳,
1192,受取手形の更改,
1193,裏書,
1194,為替手形,
1195,拒絶証書,
1196,銀行取引停止,
1197,金銭債権,
1198,決済,
1199,公示催告,
1200,小切手,
1201,小切手帳,
1202,小切手の呈示,
1203,小切手要件,
1204,債権保全,
1205,先日付小切手,
1206,自己振出小切手,
1207,支払手形,
1208,償還請求権,
1209,除権決定,
1210,線引き小切手,
1211,他人振出小切手,
1212,担保,
1213,チェックライター,
1214,手形,
1215,手形交換所,
1216,手形帳,
1217,手形のジャンプ,
1218,手形要件,
1219,手形割引,
1220,電子記録債権,
1221,電子債権記録機関,
1222,統一手形用紙,
1223,当座勘定取引契約,
1224,取立,
1225,名宛人,
1226,名指人,
1227,振出,
1228,振出地,
1229,振出人,
1230,不渡り,
1231,約束手形,
1232,預金小切手,
1233,留置権,
1234,アキュムレーション・アモチゼーション,
1235,洗替え方式,
1236,ROE,
1237,ROA,
1238,安全性,
1239,移動平均法,
1240,EV/EVITDA倍率,
1241,インカムゲイン,
1242,インサイダー取引,
1243,アップストリーム,
1244,イールド・カーブ,
1245,影響力基準,
1246,カーブアウト,
1247,外貨換算,
1248,会計基準の公開草案,
1249,開始仕訳,
1250,会社分割,
1251,貸倒引当金の調整,
1252,株式移転,
1253,株式交換,
1254,企業結合,
1255,逆取得,
1256,間接法,
1257,簡便法,
1258,原則法,
1259,直接法,
1260,共通支配下,
1261,共通支配下の取引,
1262,繰延法,
1263,企業会計基準委員会,
1264,議決権株式,
1265,グループ法人税制,
1266,形式持分比率,
1267,公正価値,
1268,購入のれん,
1269,子会社株式の一部売却（支配継続）,
1270,子会社株式の買い増し,
1271,子会社株式の売却に伴う支配の喪失,
1272,国際会計基準審議会,
1273,国際財務報告基準,
1274,固定資産未実現,
1275,コンバージェンス,
1276,財務会計基準機構,
1277,サブ連結/段階連結,
1278,事業譲渡,
1279,事業分離,
1280,資金の範囲,
1281,資産負債法,
1282,実効税率,
1283,実質持分比率,
1284,実質支配力基準,
1285,収益認識に関する会計基準,
1286,重要性の判断,
1287,取得関連費用,
1288,ジョイントベンチャー,
1289,消滅会社,
1290,条件付取得対価,
1291,ストックオプション,
1292,ストックオプションの公正価値,
1293,セグメント会計,
1294,全部のれん,
1295,遡及修正,
1296,その他の包括利益,
1297,存続会社,
1298,退職給付債務のリサイクリング（組替調整）,
1299,ダウンストリーム,
1300,棚卸未実現,
1301,段階取得,
1302,段階取得差損益,
1303,追加的のれん,
1304,適格合併,
1305,当期純利益の按分,
1306,当期純利益の表示,
1307,投資と資本の相殺消去,
1308,匿名組合,
1309,のれん,
1310,のれんの減損,
1311,パーチェス法,
1312,非支配株主,
1313,非支配株主がいる子会社の債務超過,
1314,非適格合併,
1315,費用機能法,
1316,評価差額,
1317,比例連結,
1318,非連結子会社,
1319,負ののれん,
1320,変則決算,
1321,包括利益計算書,
1322,マネジメント・アプローチ,
1323,みなし子会社,
1324,みなし取得日（売却日）,
1325,持株基準,
1326,持分プーリング法,
1327,持分法適用会社,
1328,連結財務諸表作成上における在外子会社等の会計処理上必要な修正項目,
1329,連結納税,
1330,連結範囲の変更を伴う子会社株式の取得に伴う支出,
1331,連結範囲の変更を伴う子会社株式の売却に伴う収入,
1332,DCF法,
1333,PPA,
1334,B/S,
1335,BPS（1株あたり純資産）,
1336,DCF,
1337,EPS（1株あたり利益）,
1338,IRR（内部収益率),
1339,M&A,
1340,NPV（正味現在価値）,
1341,NPO法人,
1342,PBR（株価純資産倍率）,
1343,PER（株価収益率）,
1344,P/L,
1345,ROE（自己資本利益率）,
1346,ROA（総資産利益率）,
1347,預り金,
1348,青色申告,
1349,印鑑届出書,
1350,受取手形,
1351,受取手形記入帳,
1352,受取利息,
1353,売上原価,
1354,売上総利益,
1355,売上帳,
1356,売掛金,
1357,売掛金元帳,
1358,運転資本,
1359,営業外収益,
1360,営業外費用,
1361,営業利益,
1362,買掛金,
1363,買掛金元帳,
1364,会議費,
1365,掛取引,
1366,借入金,
1367,仮受金,
1368,借方と貸方,
1369,貸倒れ,
1370,貸倒引当金,
1371,貸倒引当金繰入,
1372,株式会社,
1373,株主資本等変動計算書,
1374,株主総会,
1375,仮払金,
1376,勘定科目,
1377,監査役,
1378,機会費用,
1379,企業価値,
1380,期首,
1381,寄付金,
1382,寄付金控除,
1383,期末,
1384,キャッシュ・フロー計算書,
1385,クラウドファンディング,
1386,繰越商品,
1387,繰延べ,
1388,繰延資産,
1389,繰延資産償却,
1390,経常利益,
1391,経理,
1392,決算,
1393,決算書,
1394,限界利益,
1395,減価償却,
1396,現金主義,
1397,現金出納帳,
1398,源泉所得税,
1399,交際費,
1400,合同会社,
1401,小口現金,
1402,小口現金出納帳,
1403,固定資産除却損,
1404,固定資産売却益,
1405,固定長期適合率,
1406,固定比率,
1407,個別注記表,
1408,財団法人,
