No,日本語名,英語名
62,クイックウィン,Quick Win
63,デザイン思考,Design Thinking
64,カスタマージャーニー,Customer Journey
65,ペルソナ,Persona
66,VOC（顧客の声）,VOC (Voice of the Customer)
67,NPS（ネット・プロモーター・スコア）,NPS (Net Promoter Score)
68,オムニチャネル,Omni-Channel
69,データドリブン経営,Data-Driven Management
70,アナリティクス,Analytics
71,ビッグデータ,Big Data
72,クラウドマイグレーション,Cloud Migration
73,サイバーセキュリティ,Cybersecurity
74,ESG,ESG (Environmental, Social, Governance)
75,サステナビリティ,Sustainability
76,カーボンニュートラル,Carbon Neutral
77,サーキュラーエコノミー,Circular Economy
78,インクルージョン＆ダイバーシティ,Inclusion & Diversity
79,コーポレートガバナンス,Corporate Governance
80,インセンティブ設計,Incentive Design
81,オペレーティングモデル,Operating Model
82,センター・オブ・エクセレンス,Center of Excellence
83,シェアードサービス,Shared Services
84,アジャイルトランスフォーメーション,Agile Transformation
85,ゴー・トゥー・マーケット戦略,Go-to-Market Strategy
86,マーケットエントリー,Market Entry
87,グロース戦略,Growth Strategy
88,アンゾフ・マトリクス,Ansoff Matrix
89,フレームワーク思考,Framework Thinking
90,仮説思考,Hypothesis-Driven Thinking
91,クリティカルシンキング,Critical Thinking
92,ストーリーライン,Storyline
93,エグゼクティブサマリー,Executive Summary
94,ファクトベース,Fact-Based
95,インパクト評価,Impact Assessment
96,プライオリタイゼーション,Prioritization
97,ガントチャート,Gantt Chart
98,RACI,RACI (Responsible, Accountable, Consulted, Informed)
99,スコープ管理,Scope Management
100,リソース配置,Resource Allocation
101,キャパシティプランニング,Capacity Planning
102,チームビルディング,Team Building
103,変革管理,Transformation Management
104,バリュエーション,Valuation
105,DCF（割引キャッシュフロー法）,DCF (Discounted Cash Flow)
106,EBITDA,EBITDA (Earnings Before Interest, Taxes, Depreciation, and Amortization)
107,WACC（加重平均資本コスト）,WACC (Weighted Average Cost of Capital)
108,フリーキャッシュフロー,Free Cash Flow
109,レバレッジドバイアウト,Leveraged Buyout
110,プライベートエクイティ,Private Equity
111,投資回収期間,Payback Period
112,IRR（内部収益率）,IRR (Internal Rate of Return)
113,NPV（正味現在価値）,NPV (Net Present Value)
114,ユニットエコノミクス,Unit Economics
115,LTV（顧客生涯価値）,LTV (Lifetime Value)
116,CAC（顧客獲得コスト）,CAC (Customer Acquisition Cost)
117,ARR（年間経常収益）,ARR (Annual Recurring Revenue)
118,MRR（月次経常収益）,MRR (Monthly Recurring Revenue)
119,チャーンレート,Churn Rate
120,プラットフォームビジネス,Platform Business
121,エコシステム,Ecosystem
122,ネットワーク効果,Network Effect
123,ディスラプション,Disruption
124,オープンイノベーション,Open Innovation
125,コーポレートベンチャーキャピタル,Corporate Venture Capital
126,フィット・ギャップ分析,Fit-Gap Analysis
127,プロダクトマネジメント,Product Management
128,マッキンゼー7Sフレームワーク,McKinsey 7S Framework
129,スキル（7Sの要素）,Skills (McKinsey 7S)
130,スタッフ（7Sの要素）,Staff (McKinsey 7S)
131,スタイル（7Sの要素）,Style (McKinsey 7S)
132,システム（7Sの要素）,Systems (McKinsey 7S)
133,ストラクチャー（7Sの要素）,Structure (McKinsey 7S)
134,シェアードバリュー（7Sの要素）,Shared Values (McKinsey 7S)
135,ストラテジー（7Sの要素）,Strategy (McKinsey 7S)
136,マッキンゼー問題解決アプローチ,McKinsey Problem-Solving Approach
137,スリー・ホライゾンズ,Three Horizons Framework
138,ホライゾン1（中核事業）,Horizon 1 (Core Business)
139,ホライゾン2（新興事業）,Horizon 2 (Emerging Business)
140,ホライゾン3（未来事業）,Horizon 3 (Future Business)
141,マッキンゼー戦略的計画,McKinsey Strategic Planning
142,インフルエンス・モデル,Influence Model
143,組織の健全性指標,Organizational Health Index
144,センス・アンド・アジリティ,Sense and Agility
145,ダイナミック・マネジメント,Dynamic Management
146,次世代オペレーティングモデル,Next-Generation Operating Model
147,デジタル・キューブ,Digital Cube
148,テクノロジー・ハブ,Technology Hub
149,アジャイル・セル,Agile Cell
150,スクワッド,Squad
151,トライブ,Tribe
152,チャプター,Chapter
153,ギルド,Guild
154,マッキンゼー・グローバル・インスティテュート（MGI）,McKinsey Global Institute (MGI)
155,テクノロジー・カウンシル,Technology Council
156,ゼロ・ベース予算,Zero-Based Budgeting
157,コスト・トランスフォーメーション,Cost Transformation
158,マッキンゼー式ピラミッドライティング,McKinsey Pyramid Principle
159,BCGマトリクス（成長率・市場占有率マトリクス）,BCG Matrix (Growth-Share Matrix)
160,花形製品（BCGマトリクス）,Star (BCG Matrix)
161,金のなる木（BCGマトリクス）,Cash Cow (BCG Matrix)
162,問題児（BCGマトリクス）,Question Mark (BCG Matrix)
163,負け犬（BCGマトリクス）,Dog (BCG Matrix)
164,ブルーオーシャン戦略,Blue Ocean Strategy
165,エクスペリエンス・カーブ,Experience Curve
166,BCG・ヘンダーソン研究所,BCG Henderson Institute
167,バイモーダル戦略,Bimodal Strategy
168,適応的優位性,Adaptive Advantage
169,トータル・ソサエタル・インパクト,Total Societal Impact
170,BCGゲームチェンジャー,BCG Game Changer
171,インキュベーション,Incubation
172,BCGバリュー・サイエンス,BCG Value Science
173,BCGデジタルガレージ,BCG Digital Garage
174,ダイナミック戦略,Dynamic Strategy
175,ポーター競争優位理論,Porter's Competitive Advantage
176,差別化戦略,Differentiation Strategy
177,コスト・リーダーシップ戦略,Cost Leadership Strategy
178,集中戦略,Focus Strategy
179,STP分析,STP Analysis (Segmentation, Targeting, Positioning)
180,セグメンテーション,Segmentation
181,ターゲティング,Targeting
182,ポジショニング,Positioning
183,スペシャリゼーション,Specialization
184,コモディティ化,Commoditization
185,価値創造,Value Creation
186,バリュードライバー,Value Driver
187,収益モデル,Revenue Model
188,ビジネスプロセス管理,Business Process Management
189,クロスファンクショナルチーム,Cross-Functional Team
190,マネジメントコンサルティング,Management Consulting
191,ITコンサルティング,IT Consulting
192,人事コンサルティング,HR Consulting
193,財務コンサルティング,Financial Consulting
194,サプライチェーンコンサルティング,Supply Chain Consulting
195,マーケティングコンサルティング,Marketing Consulting
196,戦略ロードマップ,Strategic Roadmap
197,組織変革,Organizational Transformation
198,業績管理,Performance Management
199,コスト構造,Cost Structure
200,価格戦略,Pricing Strategy
201,チャネル戦略,Channel Strategy
202,ブランド戦略,Brand Strategy
203,イノベーション管理,Innovation Management
204,研究開発戦略,R&D Strategy
205,知的財産戦略,Intellectual Property Strategy
206,リストラクチャリング,Restructuring
207,ターンアラウンド,Turnaround
208,ビジネス診断,Business Diagnosis
209,市場調査,Market Research
210,競合分析,Competitive Analysis
211,顧客セグメンテーション,Customer Segmentation
212,チャーン分析,Churn Analysis
213,ロイヤリティプログラム,Loyalty Program
214,収益性分析,Profitability Analysis
215,損益分析,P&L Analysis
216,ファイナンシャルモデリング,Financial Modeling
217,シナリオプランニング,Scenario Planning
218,コンティンジェンシープランニング,Contingency Planning
219,感度分析,Sensitivity Analysis
220,リアルオプション分析,Real Options Analysis
221,企業再生,Corporate Restructuring
222,民営化,Privatization
223,規制対応,Regulatory Compliance
224,ガバナンス改革,Governance Reform
225,ステークホルダーマネジメント,Stakeholder Management
226,コミュニケーション戦略,Communication Strategy
227,ナレッジマネジメント,Knowledge Management
228,コンサルタント,Consultant
229,シニアコンサルタント,Senior Consultant
230,マネージャー（コンサルティングファーム）,Manager (Consulting Firm)
231,パートナー（コンサルティングファーム）,Partner (Consulting Firm)
232,アナリスト（コンサルティングファーム）,Analyst (Consulting Firm)
233,アソシエイト（コンサルティングファーム）,Associate (Consulting Firm)
234,プリンシパル,Principal
235,エンゲージメントマネージャー,Engagement Manager
236,クライアント,Client
237,ソーシング戦略,Sourcing Strategy
238,ベンダー管理,Vendor Management
239,調達最適化,Procurement Optimization
240,ロジスティクス最適化,Logistics Optimization
241,在庫最適化,Inventory Optimization
242,製造戦略,Manufacturing Strategy
243,品質管理,Quality Management
244,シックスシグマ,Six Sigma
245,トヨタ生産方式,Toyota Production System
246,カイゼン,Kaizen
247,ジャスト・イン・タイム,Just-In-Time
248,カンバン方式,Kanban
249,バリューストリームマッピング,Value Stream Mapping
250,5S,5S (Sort, Set in order, Shine, Standardize, Sustain)
251,リーン生産,Lean Production
252,制約理論,Theory of Constraints
253,ポカヨケ,Poka-Yoke
254,ジョブ理論,Jobs-to-be-Done Theory
