No,日本語名,英語名,定義,カテゴリ,ドメイン
103,EV,EnterpriseValue,企業全体の事業価値。時価総額＋純有利子負債。,Metric,M&A
104,買収プレミアム,AcquisitionPremium,買収価格が買収前市場価格を上回る割合。,Metric,M&A
105,ブレイクアップフィー,BreakupFee,M&A契約破棄時に支払われる解約料。,Concept,M&A
106,ESG,ESG,環境(E)・社会(S)・ガバナンス(G)の3軸で企業を評価する枠組み。,Concept,ESG
107,サステナビリティ,Sustainability,将来世代のニーズを損なわずに現在のニーズを充足する発展。,Concept,ESG
108,SDGs,SustainableDevelopmentGoals,国連が定めた2030年までの17の持続可能な開発目標。,Concept,ESG
109,TCFD,TCFD,気候関連財務情報開示タスクフォース。リスク・機会の開示推奨。,Concept,ESG
110,TNFD,TNFD,自然関連財務情報開示タスクフォース。自然資本リスクの開示推奨。,Concept,ESG
111,GHG,GreenhouseGas,温室効果ガス。CO2・メタン等。Scope1〜3で排出量を分類。,Concept,ESG
112,Scope1,Scope1Emissions,自社が直接排出するGHG。自社工場・車両等の燃焼由来。,Metric,ESG
113,Scope2,Scope2Emissions,購入した電力・熱由来のGHG間接排出。,Metric,ESG
114,Scope3,Scope3Emissions,サプライチェーン全体を通じた間接排出。15カテゴリに分類。,Metric,ESG
115,カーボンニュートラル,CarbonNeutral,温室効果ガスの排出と吸収を均衡させ実質ゼロにする状態。,Concept,ESG
116,カーボンオフセット,CarbonOffset,削減できないGHG排出を他の場所での削減・吸収で相殺すること。,Process,ESG
117,SBT,ScienceBasedTargets,科学的根拠に基づく温室効果ガス削減目標。,Concept,ESG
118,RE100,RE100,企業が使用電力の100%を再生可能エネルギーで賄う国際イニシアチブ。,Concept,ESG
119,CDP,CDP,企業の気候変動・水・森林リスクの情報開示を推進する国際NGO。,Entity,ESG
120,ESGスコア,ESGScore,ESG評価機関が企業のESGパフォーマンスを数値化したスコア。,Metric,ESG
121,気候変動リスク,ClimateChangeRisk,気候変動が企業に与える移行リスク・物理リスクの総称。,Concept,ESG
122,移行リスク,TransitionRisk,低炭素経済への移行過程で生じる政策・技術・市場変化リスク。,Concept,ESG
123,物理リスク,PhysicalRisk,気候変動に起因する洪水・台風等の自然災害リスク。,Concept,ESG
124,サーキュラーエコノミー,CircularEconomy,廃棄物を出さず資源を循環させる経済モデル。,Concept,ESG
125,人的資本,HumanCapital,従業員の知識・スキル・経験等の価値の総体。,Concept,ESG
126,ダイバーシティ＆インクルージョン,DiversityAndInclusion,多様な人材が活躍できる組織・文化の実現。D&I。,Concept,ESG
127,サプライチェーン人権,SupplyChainHumanRights,サプライチェーン全体で人権リスクを管理・改善する取り組み。,Process,ESG
128,統合報告書,IntegratedReport,財務・非財務情報を統合し価値創造ストーリーを示す報告書。,Document,ESG
129,マテリアリティ,Materiality,ESG開示において企業・ステークホルダーに重要な課題の特定。,Process,ESG
130,コーポレートガバナンス,CorporateGovernance,企業が株主等の利益を守るための内部統制・意思決定の仕組み。,Concept,ガバナンス
131,取締役会,BoardOfDirectors,企業の最高意思決定機関。経営の監督と重要事項の決定を担う。,Entity,ガバナンス
132,社外取締役,OutsideDirector,会社と利害関係のない外部から選任された取締役。,Entity,ガバナンス
133,監査委員会,AuditCommittee,財務報告・内部統制・監査の監督を担う取締役会委員会。,Entity,ガバナンス
134,指名委員会,NominationCommittee,取締役・経営幹部の選解任手続きを担う取締役会委員会。,Entity,ガバナンス
135,報酬委員会,CompensationCommittee,経営幹部の報酬設計・決定を担う取締役会委員会。,Entity,ガバナンス
136,コンプライアンス,Compliance,法令・規則・社内規程等を遵守すること。リスク管理の基盤。,Concept,ガバナンス
137,内部統制,InternalControl,財務報告の信頼性確保・業務効率化・法令遵守のための組織的仕組み。,Concept,ガバナンス
138,内部監査,InternalAudit,経営目標達成を支援するために独立した立場で行う保証・助言活動。,Process,ガバナンス
139,外部監査,ExternalAudit,公認会計士・監査法人が財務諸表の適正性を独立の立場で検証する。,Process,ガバナンス
140,スチュワードシップ,Stewardship,機関投資家が投資先企業と建設的に対話し企業価値向上を促す責任。,Concept,ガバナンス
141,議決権行使,ProxyVoting,株主総会での議案に対して機関投資家が権利を行使すること。,Process,ガバナンス
142,エンゲージメント,Engagement,投資家が投資先企業の経営改善に向けて対話・関与する活動。,Process,ガバナンス
143,株主総会,GeneralMeetingOfShareholders,株主が議案を議決する企業の最高意思決定会議。,Event,ガバナンス
144,役員報酬,ExecutiveCompensation,取締役・経営幹部に支払われる報酬。固定給・業績連動・株式付与等。,Concept,ガバナンス
145,J-SOX,JSOX,内部統制報告制度。金融商品取引法に基づく日本版SOX法。,Concept,ガバナンス
146,情報開示,Disclosure,企業が投資家・市場に対して財務・非財務情報を公表すること。,Process,ガバナンス
147,フェアディスクロージャー,FairDisclosure,公平な情報開示。特定の市場参加者への選択的情報提供を禁じる規制。,Concept,ガバナンス
148,経営戦略,BusinessStrategy,企業が長期的な目標を達成するための基本方針・行動計画。,Concept,経営戦略
149,ビジョン,Vision,企業が目指す将来の理想像。,Concept,経営戦略
150,ミッション,Mission,企業の存在意義・社会への提供価値を示す宣言。,Concept,経営戦略
151,パーパス,Purpose,企業の存在理由・社会的使命。,Concept,経営戦略
152,ビジネスモデル,BusinessModel,企業が価値を創造・提供・獲得するための仕組みの総体。,Concept,経営戦略
153,バリューチェーン,ValueChain,製品・サービスの価値創造を構成する一連の活動の連鎖。,Concept,経営戦略
154,コアコンピタンス,CoreCompetence,競合他社が模倣困難な自社固有の中核的能力。,Concept,経営戦略
155,競争優位,CompetitiveAdvantage,競合他社と比較して優れた持続可能な強み。,Concept,経営戦略
156,SWOT分析,SWOTAnalysis,内部環境(強み・弱み)と外部環境(機会・脅威)を整理する分析フレームワーク。,Process,経営戦略
157,ファイブフォース分析,FiveForcesAnalysis,業界の競争構造を5つの力(競合・新規参入・代替品・買手・売手)で分析。,Process,経営戦略
158,DX,DigitalTransformation,デジタル技術を活用して事業・組織・文化を抜本的に変革すること。,Concept,経営戦略
159,イノベーション,Innovation,新たな価値を創出する技術・製品・プロセス・ビジネスモデルの革新。,Concept,経営戦略
160,KPI,KPI,重要業績評価指標。目標達成度を測定するための定量的な指標。,Metric,経営戦略
161,OKR,OKR,目標と主要成果指標。Objectives and Key Results。,Concept,経営戦略
162,バランスト・スコアカード,BalancedScorecard,財務・顧客・内部プロセス・学習と成長の4視点で戦略を管理するフレームワーク。,Concept,経営戦略
163,CRM,CRM,顧客関係管理。顧客情報を一元管理し関係を強化するシステム・戦略。,Concept,営業
164,SFA,SFA,営業支援システム。商談管理・活動管理を自動化するツール。,Concept,営業
165,顧客,Customer,企業の商品・サービスを購入・利用する個人または法人。,Entity,営業
166,パイプライン,SalesPipeline,商談の進捗状況を段階別に管理する営業プロセスの可視化。,Concept,営業
167,コンバージョン率,ConversionRate,見込み客が顧客に転換する割合。,Metric,営業
168,アップセル,Upsell,既存顧客により高単価の商品・サービスへの移行を促すこと。,Process,営業
169,クロスセル,CrossSell,既存顧客に関連する別商品・サービスを追加購入させること。,Process,営業
170,マーケティング,Marketing,顧客ニーズを把握し商品・サービスの価値を届けるための活動全般。,Concept,マーケティング
171,ブランド,Brand,企業・商品に対して顧客が抱くイメージ・信頼・感情の総体。,Concept,マーケティング
172,STP分析,STPAnalysis,セグメンテーション・ターゲティング・ポジショニングの3ステップ分析。,Process,マーケティング
173,調達,Procurement,企業が事業に必要な物品・サービスを外部から取得するプロセス。,Process,調達
174,サプライチェーン,SupplyChain,製品が原材料から顧客に届くまでの調達・生産・物流の連鎖。,Concept,調達
175,在庫,Inventory,販売または使用のために保有する原材料・仕掛品・完成品の総称。,Concept,調達
176,リードタイム,LeadTime,発注から納品までに要する時間。,Metric,調達
177,サプライヤー,Supplier,原材料・部品・サービスを提供する取引先。,Entity,調達
178,カイゼン,Kaizen,継続的な業務改善活動。小さな改善の積み重ねで生産性を向上する。,Process,製造
179,5S,FiveS,整理・整頓・清掃・清潔・躾の5要素による職場環境改善活動。,Process,製造
180,六シグマ,SixSigma,統計的手法でプロセスの変動を最小化し品質向上を図る手法。,Process,製造
181,稼働率,OperatingRate,設備・人員が実際に稼働した時間の比率。,Metric,製造
182,品質管理,QualityControl,製品・サービスの品質を基準に合わせて管理・改善すること。,Process,製造
183,人事,HumanResources,採用・評価・育成・報酬など従業員に関する業務機能。,Concept,人事
184,タレントマネジメント,TalentManagement,組織に必要な人材を戦略的に獲得・育成・配置・維持するプロセス。,Process,人事
185,エンゲージメント（人事）,EmployeeEngagement,従業員が組織の目標に対して自発的に貢献しようとする度合い。,Metric,人事
186,組織変革,OrganizationalChange,企業が戦略・構造・文化を意図的に変革するプロセス。,Process,人事
187,会社,Company,商行為を目的として設立された法人。,Entity,共通
188,企業,Enterprise,事業活動を行う経済主体の総称。,Entity,共通
189,ステークホルダー,Stakeholder,企業活動に利害関係を持つ全ての関係者。株主・従業員・顧客・社会等。,Entity,共通
190,リスク,Risk,予期しない損失・事象が発生する可能性とその影響。,Concept,共通
191,リスク管理,RiskManagement,リスクを識別・評価・対応・モニタリングする体系的なプロセス。,Process,共通
192,プロジェクト管理,ProjectManagement,目標達成に向けてスコープ・コスト・工程・品質を統合管理すること。,Process,共通
193,コスト削減,CostReduction,業務効率化・調達改善等を通じてコストを低減すること。,Process,共通
194,収益改善,RevenueImprovement,価格・数量・ミックス改善等で売上・利益を向上させること。,Process,共通
195,業務プロセス,BusinessProcess,目標を達成するために行われる一連の活動・手順。,Process,共通
196,デジタル化,Digitalization,アナログな業務・情報をデジタル技術で変革すること。,Concept,共通
197,法人税,CorporateIncomeTax,企業の所得に課税される税金。,Concept,税務
198,消費税,ConsumptionTax,商品・サービスの消費に課される間接税。日本では10%（軽減8%）。,Concept,税務
199,移転価格,TransferPricing,関連会社間取引における価格設定。税務当局が監視する国際税務分野。,Concept,税務
200,税務調査,TaxAudit,税務当局が納税者の申告内容を調査・検証するプロセス。,Process,税務
201,繰越欠損金,NetOperatingLossCarryforward,過去の欠損金を将来年度の課税所得から控除できる制度。,Concept,税務
202,連結納税,ConsolidatedTaxReturn,グループ企業を一体として課税所得を計算する税務制度。,Process,税務
203,銀行,Bank,預金・融資・為替取引を行う金融機関。,Entity,金融
204,証券会社,SecuritiesFirm,有価証券の売買仲介・引受・自己売買等を行う金融機関。,Entity,金融
205,融資,Lending,金融機関が資金を貸し付けること。,Process,金融
206,資金調達,FundRaising,事業に必要な資金を株式・債券・借入等で調達すること。,Process,金融
207,金利,InterestRate,資金の貸借に対して課される利率。,ValueObject,金融
208,信用リスク,CreditRisk,取引相手が債務不履行に陥るリスク。,Concept,金融
209,市場リスク,MarketRisk,株価・金利・為替等の市場変動による損失リスク。,Concept,金融
210,流動性リスク,LiquidityRisk,資産を適切な価格で換金できなくなるリスク。,Concept,金融
211,バーゼル規制,BaselAccord,銀行の自己資本比率規制。BISが策定（バーゼルI〜III）。,Concept,金融
212,LIBOR,LIBOR,ロンドン銀行間取引金利。金融商品の参照金利として使われた。2023年廃止。,Concept,金融
213,SOFR,SOFR,担保付翌日物調達金利。LIBORの主要後継指標。,Concept,金融
214,中央銀行,CentralBank,通貨発行・金融政策・金融システム安定を担う国家の銀行。,Entity,金融
215,日本銀行,BankOfJapan,日本の中央銀行。金融政策・通貨発行を担う。BOJ。,Entity,金融
216,FRB,FederalReserveBoard,米国の中央銀行制度の最高意思決定機関。,Entity,金融
217,0段階チャネル,,0段階チャネルに関連する業務用語。,Concept,マーケティング
218,10Q,,10Qに関連する業務用語。,Concept,共通
219,10％テスト,,10％テストに関連する業務用語。,Concept,共通
220,13F,,13Fに関連する業務用語。,Concept,共通
221,1カイ2ヤリ,,1カイ2ヤリに関連する業務用語。,Concept,共通
222,1人当たり購入単価,Average Purchase Price per User,1人当たり購入単価に関連する業務用語。,Concept,共通
223,1口元本,,1口元本に関連する業務用語。,Concept,共通
224,1株当たりキャッシュフロー,,1株当たりキャッシュフローに関連する業務用語。,Metric,会計
225,1株当たり利益,,1株当たり利益に関連する業務用語。,Concept,共通
226,1株当たり当期純利益,Earnings Per Share (EPS),1株当たり当期純利益に関連する業務用語。,Metric,会計
227,1株当たり純資産,Book Value Per Share (BPS),1株当たり純資産に関連する業務用語。,Concept,会計
228,1株当たり配当金,Dividend Per Share (DPS),1株当たり配当金に関連する業務用語。,Concept,財務分析
229,1次データ,,1次データに関連する業務用語。,Concept,共通
230,1段階チャネル,,1段階チャネルに関連する業務用語。,Concept,マーケティング
231,2-6-2の法則,,2-6-2の法則に関連する業務用語。,Concept,共通
232,2010年問題,,2010年問題に関連する業務用語。,Concept,共通
233,20‐80のルール(20-80の法則),,20‐80のルール(20-80の法則)に関連する業務用語。,Concept,共通
234,2次データ,,2次データに関連する業務用語。,Concept,共通
235,2段階チャネル,,2段階チャネルに関連する業務用語。,Concept,マーケティング
236,360度評価,,360度評価に関連する業務用語。,Process,人事
237,3C分析,,3C分析に関連する業務用語。,Concept,共通
238,3C（分析）,,3C（分析）に関連する業務用語。,Concept,共通
239,3Dプリンター,,3Dプリンターに関連する業務用語。,Concept,共通
240,3伝票制,,3伝票制に関連する業務用語。,Concept,共通
241,3段階チャネル,,3段階チャネルに関連する業務用語。,Concept,マーケティング
242,401k,,401kに関連する業務用語。,Concept,共通
243,401k対象ファンド,,401k対象ファンドに関連する業務用語。,Metric,投資
244,401ｋ,,401ｋに関連する業務用語。,Concept,共通
245,401ｋ対象ファンド,,401ｋ対象ファンドに関連する業務用語。,Metric,投資
246,4P,,4Pに関連する業務用語。,Concept,共通
247,4P（ヨンピー）,,4P（ヨンピー）に関連する業務用語。,Concept,共通
248,4R,,4Rに関連する業務用語。,Concept,共通
249,4本値,,4本値に関連する業務用語。,Concept,共通
250,5%ルール,,5%ルールに関連する業務用語。,Concept,共通
251,52週安値,52-Week Low,52週安値に関連する業務用語。,Concept,共通
252,52週高値,52-Week High,52週高値に関連する業務用語。,Concept,共通
253,5DMA,,5DMAに関連する業務用語。,Concept,共通
254,5F,,5Fに関連する業務用語。,Concept,共通
255,5G,,5Gに関連する業務用語。,Concept,共通
256,5つの力,,5つの力に関連する業務用語。,Concept,共通
257,5％ルール,,5％ルールに関連する業務用語。,Concept,共通
258,5％ルール（独占禁止法）,,5％ルール（独占禁止法）に関連する業務用語。,Concept,共通
259,5ＤＭＡ,,5ＤＭＡに関連する業務用語。,Concept,共通
260,6R,,6Rに関連する業務用語。,Concept,共通
261,72の法則,,72の法則に関連する業務用語。,Concept,共通
262,7S,,7Sに関連する業務用語。,Concept,経営戦略
263,7つのS,,7つのSに関連する業務用語。,Concept,共通
264,95％ルール,,95％ルールに関連する業務用語。,Concept,共通
265,ABB(活動基準予算管理),,ABB(活動基準予算管理)に関連する業務用語。,Concept,共通
266,ABC,,ABCに関連する業務用語。,Concept,共通
267,ABC分析,,ABC分析に関連する業務用語。,Concept,共通
268,ABL,,ABLに関連する業務用語。,Concept,共通
269,ABM(活動基準管理),,ABM(活動基準管理)に関連する業務用語。,Concept,共通
270,ABS,,ABSに関連する業務用語。,Document,会計
271,ABS（Asset Backed Securities）,,ABS（Asset Backed Securities）に関連する業務用語。,Document,会計
272,ADB,,ADBに関連する業務用語。,Concept,共通
273,ADP雇用者数,,ADP雇用者数に関連する業務用語。,Concept,共通
274,ADR,,ADRに関連する業務用語。,Concept,共通
275,ADR手続き,,ADR手続きに関連する業務用語。,Concept,共通
276,ADR法,,ADR法に関連する業務用語。,Concept,共通
277,AEO制度,,AEO制度に関連する業務用語。,Concept,共通
278,AEX指数,,AEX指数に関連する業務用語。,Concept,共通
279,AI,,AIに関連する業務用語。,Concept,経営戦略
280,AIDMA,,AIDMAに関連する業務用語。,Concept,経営戦略
281,AIIB,,AIIBに関連する業務用語。,Concept,経営戦略
282,AI活用,AI Utilization,AI活用に関連する業務用語。,Concept,経営戦略
283,ALM,,ALMに関連する業務用語。,Concept,共通
284,AMTUL,,AMTULに関連する業務用語。,Concept,共通
285,ANZ企業信頼感指数,,ANZ企業信頼感指数に関連する業務用語。,Entity,共通
286,APEC,,APECに関連する業務用語。,Concept,共通
287,API,,APIに関連する業務用語。,Concept,経営戦略
288,API（American Petroleum Institute）,,API（American Petroleum Institute）に関連する業務用語。,Concept,経営戦略
289,API（エーピーアイ）,,API（エーピーアイ）に関連する業務用語。,Concept,経営戦略
290,APV,,APVに関連する業務用語。,Concept,共通
291,AQR,,AQRに関連する業務用語。,Concept,共通
292,AR,,ARに関連する業務用語。,Concept,共通
293,ARPU,Average Revenue Per User,ARPUに関連する業務用語。,Concept,共通
294,ARR（年間経常収益）,ARR (Annual Recurring Revenue),ARR（年間経常収益）に関連する業務用語。,Metric,財務分析
295,ASBJ,,ASBJに関連する業務用語。,Concept,共通
296,ASEAN,,ASEANに関連する業務用語。,Concept,共通
297,ASEAN（東南アジア諸国連合）,,ASEAN（東南アジア諸国連合）に関連する業務用語。,Concept,共通
298,ASEM,,ASEMに関連する業務用語。,Concept,共通
299,ASP（エーエスピー）,,ASP（エーエスピー）に関連する業務用語。,Concept,共通
300,ASX（Australian Stock Exchange）,,ASX（Australian Stock Exchange）に関連する業務用語。,Concept,共通
301,AT1債,,AT1債に関連する業務用語。,Concept,共通
302,ATM,,ATMに関連する業務用語。,Concept,共通
303,AUD,,AUDに関連する業務用語。,Concept,共通
304,AWS（エーダブルエス）,,AWS（エーダブルエス）に関連する業務用語。,Concept,共通
305,Agreement among underwriters,,Agreement among underwritersに関連する業務用語。,Concept,共通
306,Amex,,Amexに関連する業務用語。,Concept,共通
307,B/S,,B/Sに関連する業務用語。,Concept,会計
